game_date,site,team,tdiv,opponent,odiv,win,lose,w3,w4,w5,l3,l4,l5,e_m,e_w3,e_w4,e_w5,e_l3,e_l4,e_l5
2016-12-09,Neutral,Alas. Anchorage,D2,Palm Beach Atl.,D2,0.629,0.371,0.188,0.241,0.200,0.078,0.134,0.159,177.1,133.6,179.0,205.9,136.0,180.6,206.4
2016-12-09,Neutral,Arizona,D1,Washington,D1,0.387,0.613,0.083,0.140,0.163,0.179,0.234,0.200,177.4,135.9,180.5,206.4,133.8,179.1,206.0
2016-12-09,Away,BYU,D1,Texas,D1,0.517,0.483,0.132,0.194,0.190,0.118,0.181,0.185,178.5,134.7,179.7,206.2,135.0,179.9,206.3
2016-12-09,Home,Concordia-St. Paul,D2,Lewis,D2,0.963,0.037,0.595,0.284,0.084,0.004,0.010,0.023,149.1,127.1,173.8,203.1,140.2,182.5,205.7
2016-12-09,Neutral,Creighton,D1,Michigan,D1,0.613,0.387,0.179,0.234,0.200,0.083,0.141,0.163,177.4,133.8,179.1,206.0,135.9,180.5,206.4
2016-12-09,Neutral,Florida St.,D1,Stanford,D1,0.128,0.872,0.018,0.040,0.070,0.401,0.316,0.155,163.9,138.5,181.9,206.3,130.2,176.4,204.6
2016-12-09,Home,Minnesota,D1,Missouri,D1,0.922,0.078,0.486,0.312,0.124,0.010,0.023,0.045,157.5,128.9,175.3,204.0,139.2,182.2,206.1
2016-12-09,Home,Nebraska,D1,Penn St.,D1,0.807,0.193,0.323,0.304,0.180,0.031,0.064,0.098,169.4,131.4,177.3,205.2,137.7,181.5,206.4
2016-12-09,Neutral,North Carolina,D1,UCLA,D1,0.267,0.733,0.048,0.092,0.126,0.257,0.281,0.195,173.6,137.0,181.1,206.5,132.5,178.1,205.6
2016-12-09,Away,Ohio St.,D1,Wisconsin,D1,0.171,0.829,0.026,0.056,0.089,0.346,0.309,0.173,167.8,137.9,181.6,206.4,131.1,177.1,205.0
