rk,school,div,str,ofs,dfs,sos
1,Nebraska,D1,3.087,1.757,0.569,1.783
2,Minnesota,D1,2.724,1.650,0.606,1.756
3,Wisconsin,D1,2.592,1.610,0.621,1.827
4,Penn St.,D1,2.583,1.607,0.622,1.583
5,Stanford,D1,2.404,1.550,0.645,1.894
6,BYU,D1,2.361,1.537,0.651,1.433
7,Florida,D1,2.343,1.531,0.653,1.291
8,UCLA,D1,2.307,1.519,0.658,1.689
9,Hawaii,D1,2.254,1.501,0.666,1.420
10,Creighton,D1,2.201,1.484,0.674,1.486
11,Oregon,D1,2.194,1.481,0.675,1.691
12,Washington,D1,2.194,1.481,0.675,1.607
13,Texas,D1,2.148,1.466,0.682,1.695
14,Kansas,D1,2.144,1.464,0.683,1.416
15,Ohio St.,D1,2.100,1.449,0.690,1.632
16,Michigan St.,D1,2.074,1.440,0.694,1.506
17,Michigan,D1,2.016,1.420,0.704,1.587
18,San Diego,D1,2.010,1.418,0.705,1.562
19,Arizona,D1,2.006,1.416,0.706,1.708
20,Washington St.,D1,1.981,1.407,0.711,1.604
21,Illinois,D1,1.965,1.402,0.713,1.666
22,Utah,D1,1.959,1.400,0.715,1.689
23,Purdue,D1,1.942,1.393,0.718,1.810
24,Kentucky,D1,1.940,1.393,0.718,1.460
25,Southern California,D1,1.913,1.383,0.723,1.748
26,North Carolina,D1,1.909,1.382,0.724,1.388
27,Texas A&M,D1,1.908,1.381,0.724,1.465
28,Missouri,D1,1.903,1.380,0.725,1.374
29,Wichita St.,D1,1.897,1.377,0.726,1.361
30,UNI,D1,1.870,1.368,0.731,1.336
31,Colorado,D1,1.830,1.353,0.739,1.737
32,Concordia-St. Paul,D2,1.819,1.349,0.741,0.957
33,Coastal Caro.,D1,1.815,1.347,0.742,1.074
34,Iowa St.,D1,1.813,1.346,0.743,1.547
35,Marquette,D1,1.793,1.339,0.747,1.336
36,Kansas St.,D1,1.781,1.335,0.749,1.586
37,Western Ky.,D1,1.767,1.329,0.752,1.135
38,Loyola Marymount,D1,1.745,1.321,0.757,1.348
39,Iowa,D1,1.736,1.317,0.759,1.485
40,Missouri St.,D1,1.734,1.317,0.759,1.365
41,Florida St.,D1,1.679,1.296,0.772,1.347
42,Colorado St.,D1,1.672,1.293,0.773,1.278
43,Cal Poly,D1,1.653,1.286,0.778,1.377
44,Arkansas St.,D1,1.643,1.282,0.780,1.103
45,Pittsburgh,D1,1.635,1.278,0.782,1.327
46,Georgia Tech,D1,1.628,1.276,0.784,1.242
47,Boise St.,D1,1.612,1.270,0.788,1.267
48,Long Beach St.,D1,1.596,1.263,0.792,1.422
49,Neb.-Kearney,D2,1.589,1.260,0.793,0.657
50,Baylor,D1,1.586,1.259,0.794,1.358
51,TCU,D1,1.580,1.257,0.796,1.623
52,Duke,D1,1.572,1.254,0.798,1.182
53,Oregon St.,D1,1.561,1.250,0.800,1.621
54,Pacific,D1,1.554,1.246,0.802,1.512
55,Miami (OH),D1,1.552,1.246,0.803,1.125
56,Southwest Minn. St.,D2,1.544,1.242,0.805,0.941
57,Notre Dame,D1,1.540,1.241,0.806,1.270
58,Oklahoma,D1,1.537,1.240,0.806,1.331
59,UNLV,D1,1.514,1.231,0.813,1.238
60,SMU,D1,1.501,1.225,0.816,1.172
61,Maryland,D1,1.495,1.223,0.818,1.602
62,Wyoming,D1,1.488,1.220,0.820,1.282
63,Dayton,D1,1.485,1.219,0.821,0.987
64,Xavier,D1,1.475,1.215,0.823,1.310
65,Santa Clara,D1,1.460,1.208,0.828,1.326
66,Illinois St.,D1,1.450,1.204,0.830,1.228
67,Indiana,D1,1.446,1.203,0.832,1.435
68,Lipscomb,D1,1.439,1.200,0.834,1.052
69,Gonzaga,D1,1.423,1.193,0.838,1.379
70,South Dakota,D1,1.423,1.193,0.838,1.011
71,Cincinnati,D1,1.419,1.191,0.840,1.244
72,FGCU,D1,1.416,1.190,0.840,0.950
73,Cleveland St.,D1,1.409,1.187,0.842,1.122
74,Villanova,D1,1.407,1.186,0.843,1.189
75,Tennessee,D1,1.406,1.186,0.843,1.212
76,North Carolina St.,D1,1.401,1.184,0.845,1.256
77,Rice,D1,1.390,1.179,0.848,1.172
78,Northern Ill.,D1,1.390,1.179,0.848,1.043
79,Denver,D1,1.377,1.173,0.852,0.971
80,Butler,D1,1.374,1.172,0.853,1.206
81,Ole Miss,D1,1.374,1.172,0.853,1.251
82,Southern Ill.,D1,1.371,1.171,0.854,1.228
83,Minn. Duluth,D2,1.368,1.170,0.855,0.864
84,Towson,D1,1.365,1.168,0.856,0.897
85,Southern Miss.,D1,1.359,1.166,0.858,0.972
86,Arizona St.,D1,1.353,1.163,0.860,1.599
87,Northern Ariz.,D1,1.349,1.161,0.861,0.975
88,UTSA,D1,1.345,1.160,0.862,1.091
89,Nevada,D1,1.336,1.156,0.865,1.184
90,California,D1,1.332,1.154,0.866,1.604
91,Temple,D1,1.325,1.151,0.869,1.097
92,UC Santa Barbara,D1,1.319,1.148,0.871,1.242
93,Princeton,D1,1.309,1.144,0.874,0.930
94,West Virginia,D1,1.306,1.143,0.875,1.339
95,UC Irvine,D1,1.304,1.142,0.876,1.362
96,Portland,D1,1.303,1.142,0.876,1.287
97,Alabama,D1,1.292,1.137,0.880,1.237
98,New Mexico St.,D1,1.288,1.135,0.881,0.993
99,Sacramento St.,D1,1.285,1.133,0.882,1.076
100,Winona St.,D2,1.280,1.132,0.884,0.783
101,Northwestern,D1,1.279,1.131,0.884,1.520
102,UConn,D1,1.278,1.130,0.885,1.055
103,Pepperdine,D1,1.277,1.130,0.885,1.451
104,Marshall,D1,1.272,1.128,0.887,1.014
105,Wheeling Jesuit,D2,1.271,1.127,0.887,0.596
106,UCF,D1,1.270,1.127,0.887,1.102
107,Auburn,D1,1.264,1.124,0.889,1.248
108,San Diego St.,D1,1.261,1.123,0.891,1.255
109,Bowling Green,D1,1.255,1.120,0.893,0.969
110,DePaul,D1,1.248,1.117,0.895,1.275
111,North Dakota,D1,1.239,1.113,0.899,1.001
112,South Fla.,D1,1.238,1.113,0.899,1.035
113,South Carolina,D1,1.235,1.111,0.900,1.108
114,Green Bay,D1,1.234,1.111,0.900,1.042
115,Texas Tech,D1,1.231,1.110,0.901,1.396
116,St. Mary's (CA),D1,1.228,1.108,0.902,1.390
117,New Mexico,D1,1.224,1.106,0.904,1.156
118,Tulsa,D1,1.224,1.106,0.904,1.095
119,Col. of Charleston,D1,1.217,1.103,0.906,1.058
120,Hofstra,D1,1.217,1.103,0.906,1.105
121,Utah St.,D1,1.216,1.103,0.907,1.255
122,A&M-Corpus Chris,D1,1.214,1.102,0.908,0.991
123,Northern Ky.,D1,1.209,1.100,0.909,1.074
124,Northern Colo.,D1,1.206,1.098,0.911,1.067
125,Mississippi St.,D1,1.202,1.096,0.912,1.210
126,Texas St.,D1,1.198,1.094,0.914,1.118
127,Wayne St. (NE),D2,1.192,1.092,0.916,0.803
128,Northeastern,D1,1.190,1.091,0.917,1.041
129,UNCW,D1,1.190,1.091,0.917,1.042
130,Portland St.,D1,1.189,1.091,0.917,1.151
131,Augustana (SD),D2,1.188,1.090,0.917,0.839
132,UC Davis,D1,1.184,1.088,0.919,1.221
133,Tulane,D1,1.184,1.088,0.919,1.073
134,Kennesaw St.,D1,1.184,1.088,0.919,1.001
135,Miami (FL),D1,1.174,1.083,0.923,1.303
136,Fresno St.,D1,1.173,1.083,0.923,1.140
137,Alas. Anchorage,D2,1.163,1.079,0.927,0.728
138,Seton Hall,D1,1.161,1.077,0.928,1.164
139,American,D1,1.150,1.072,0.933,0.828
140,Rhode Island,D1,1.148,1.072,0.933,0.984
141,Fla. Atlantic,D1,1.147,1.071,0.934,1.018
142,UTRGV,D1,1.145,1.070,0.935,0.983
143,Angelo St.,D2,1.139,1.067,0.937,0.706
144,ETSU,D1,1.137,1.066,0.938,0.851
145,Saint Louis,D1,1.136,1.066,0.938,1.139
146,Lewis,D2,1.135,1.065,0.939,0.750
147,Idaho St.,D1,1.135,1.065,0.939,1.091
148,Oakland,D1,1.129,1.062,0.941,1.060
149,Central Okla.,D2,1.128,1.062,0.941,0.608
150,James Madison,D1,1.126,1.061,0.943,1.021
151,UT Arlington,D1,1.125,1.061,0.943,1.009
152,St. John's (NY),D1,1.125,1.061,0.943,1.057
153,Washburn,D2,1.123,1.060,0.944,0.720
154,UMKC,D1,1.120,1.058,0.945,1.041
155,CSUN,D1,1.110,1.053,0.949,1.321
156,Milwaukee,D1,1.107,1.052,0.950,1.062
157,SIUE,D1,1.102,1.050,0.952,0.836
158,Murray St.,D1,1.098,1.048,0.954,0.940
159,Howard,D1,1.096,1.047,0.955,0.717
160,SFA,D1,1.095,1.046,0.956,0.900
161,Loyola Chicago,D1,1.093,1.045,0.957,1.263
162,Western Wash.,D2,1.087,1.043,0.959,0.826
163,Louisville,D1,1.087,1.043,0.959,1.333
164,Drake,D1,1.086,1.042,0.960,1.028
165,Radford,D1,1.086,1.042,0.960,0.779
166,North Texas,D1,1.082,1.040,0.961,1.124
167,Georgia,D1,1.079,1.039,0.963,1.067
168,Wake Forest,D1,1.077,1.038,0.964,1.084
169,North Ala.,D2,1.076,1.037,0.964,0.631
170,Arkansas,D1,1.073,1.036,0.965,1.438
171,Ohio,D1,1.073,1.036,0.965,1.065
172,North Dakota St.,D1,1.069,1.034,0.967,1.066
173,LSU,D1,1.067,1.033,0.968,1.324
174,Utah Valley,D1,1.056,1.027,0.973,1.145
175,CSU Bakersfield,D1,1.054,1.027,0.974,1.116
176,Yale,D1,1.054,1.027,0.974,0.859
177,Palm Beach Atl.,D2,1.051,1.025,0.975,0.787
178,High Point,D1,1.048,1.024,0.977,0.892
179,Virginia Tech,D1,1.048,1.024,0.977,1.232
180,New Hampshire,D1,1.043,1.021,0.979,0.814
181,Colgate,D1,1.040,1.020,0.980,0.815
182,Central Mo.,D2,1.040,1.020,0.980,0.776
183,Sam Houston St.,D1,1.030,1.015,0.985,0.981
184,Indiana St.,D1,1.028,1.014,0.986,1.085
185,Ferris St.,D2,1.023,1.011,0.989,0.777
186,Weber St.,D1,1.020,1.010,0.990,0.940
187,West Florida,D2,1.019,1.010,0.991,0.684
188,VCU,D1,1.018,1.009,0.991,0.898
189,Fort Wayne,D1,1.016,1.008,0.992,0.953
190,Tarleton St.,D2,1.013,1.007,0.994,0.681
191,Fairfield,D1,1.010,1.005,0.995,0.709
192,Eastern Wash.,D1,1.007,1.003,0.997,1.029
193,Northern St.,D2,1.004,1.002,0.998,0.892
194,Liberty,D1,1.000,1.000,1.000,0.842
195,Western Mich.,D1,0.999,1.000,1.000,1.080
196,Idaho,D1,0.998,0.999,1.001,1.076
197,Memphis,D1,0.994,0.997,1.003,1.022
198,Rockhurst,D2,0.992,0.996,1.004,0.693
199,San Jose St.,D1,0.990,0.995,1.005,1.095
200,Campbell,D1,0.984,0.992,1.008,0.884
201,Samford,D1,0.984,0.992,1.008,0.925
202,Seattle U,D1,0.983,0.991,1.009,1.129
203,Virginia,D1,0.982,0.991,1.009,1.220
204,UNCG,D1,0.977,0.988,1.012,0.884
205,Valparaiso,D1,0.975,0.987,1.013,1.004
206,Austin Peay,D1,0.974,0.987,1.013,0.821
207,Toledo,D1,0.970,0.985,1.015,1.011
208,East Carolina,D1,0.970,0.985,1.015,0.894
209,Syracuse,D1,0.967,0.984,1.017,1.254
210,Oral Roberts,D1,0.967,0.983,1.017,0.901
211,Delaware,D1,0.965,0.983,1.018,1.082
212,Albany (NY),D1,0.961,0.980,1.020,0.902
213,North Florida,D1,0.960,0.980,1.020,0.926
214,Ill.-Chicago,D1,0.960,0.980,1.021,0.983
215,Army West Point,D1,0.959,0.980,1.021,0.835
216,Georgetown,D1,0.954,0.977,1.024,1.172
217,Belmont,D1,0.954,0.977,1.024,0.897
218,Tampa,D2,0.954,0.977,1.024,0.701
219,Chattanooga,D1,0.952,0.976,1.025,0.885
220,South Ala.,D1,0.951,0.975,1.025,0.898
221,Sioux Falls,D2,0.950,0.975,1.026,0.793
222,Ball St.,D1,0.950,0.975,1.026,0.987
223,Concordia (CA),D2,0.949,0.974,1.027,0.658
224,Elon,D1,0.942,0.970,1.031,0.868
225,Colorado Mines,D2,0.941,0.970,1.031,0.725
226,Kent St.,D1,0.941,0.970,1.031,0.949
227,Duquesne,D1,0.940,0.969,1.031,0.900
228,California Baptist,D2,0.940,0.969,1.032,0.670
229,Findlay,D2,0.939,0.969,1.032,0.726
230,Navy,D1,0.931,0.965,1.037,0.724
231,UC Riverside,D1,0.930,0.964,1.037,1.124
232,Tex. A&M-Kingsville,D2,0.928,0.963,1.038,0.667
233,Little Rock,D1,0.926,0.962,1.039,0.979
234,Sacred Heart,D1,0.923,0.961,1.041,0.748
235,IUPUI,D1,0.922,0.960,1.041,1.151
236,Houston Baptist,D1,0.919,0.959,1.043,0.834
237,Cal St. San B'dino,D2,0.913,0.956,1.046,0.718
238,Simon Fraser,D2,0.912,0.955,1.047,0.713
239,Florida A&M,D1,0.912,0.955,1.047,0.734
240,MSU Denver,D2,0.908,0.953,1.049,0.724
241,Ark.-Fort Smith,D2,0.904,0.951,1.052,0.644
242,Wright St.,D1,0.901,0.949,1.054,1.021
243,Emory,D3,0.901,0.949,1.054,0.494
244,UTEP,D1,0.894,0.945,1.058,1.101
245,Central Ark.,D1,0.893,0.945,1.058,0.805
246,Calvin,D3,0.890,0.944,1.060,0.454
247,Colorado Mesa,D2,0.887,0.942,1.062,0.724
248,Boston College,D1,0.887,0.942,1.062,1.073
249,McKendree,D2,0.881,0.939,1.065,0.689
250,Fort Hays St.,D2,0.880,0.938,1.066,0.634
251,Northwest Nazarene,D2,0.871,0.933,1.071,0.714
252,Minnesota St.,D2,0.868,0.932,1.073,0.861
253,Harvard,D1,0.866,0.930,1.075,0.988
254,Cornell,D1,0.865,0.930,1.075,0.871
255,George Washington,D1,0.860,0.927,1.078,0.939
256,Bradley,D1,0.859,0.927,1.079,1.083
257,Fla. Southern,D2,0.858,0.926,1.080,0.748
258,Claremont-M-S,D3,0.852,0.923,1.084,0.490
259,Columbia,D1,0.850,0.922,1.085,0.852
260,Saint Leo,D2,0.850,0.922,1.085,0.800
261,Northwest Mo. St.,D2,0.846,0.920,1.087,0.682
262,Central Mich.,D1,0.845,0.919,1.088,0.973
263,Binghamton,D1,0.845,0.919,1.088,0.807
264,Cal Lutheran,D3,0.840,0.916,1.091,0.494
265,William & Mary,D1,0.836,0.914,1.094,0.987
266,Davidson,D1,0.835,0.914,1.094,0.922
267,Harding,D2,0.835,0.914,1.095,0.569
268,Eastern Mich.,D1,0.834,0.913,1.095,1.017
269,Ohio Northern,D3,0.833,0.912,1.096,0.454
270,UMBC,D1,0.832,0.912,1.096,0.739
271,Louisiana Tech,D1,0.829,0.911,1.098,0.834
272,Chico St.,D2,0.827,0.909,1.100,0.566
273,Grand Valley St.,D2,0.827,0.909,1.100,0.733
274,Lynn,D2,0.827,0.909,1.100,0.690
275,Ga. Southern,D1,0.825,0.908,1.101,0.892
276,Youngstown St.,D1,0.824,0.908,1.101,1.038
277,Eastern Ky.,D1,0.824,0.908,1.102,0.815
278,Wofford,D1,0.822,0.907,1.103,0.830
279,Southern Utah,D1,0.821,0.906,1.103,1.088
280,Michigan Tech,D2,0.821,0.906,1.104,0.788
281,Mercer,D1,0.819,0.905,1.105,0.849
282,Wayne St. (MI),D2,0.818,0.904,1.106,0.701
283,Lubbock Christian,D2,0.816,0.903,1.107,0.606
284,Armstrong St.,D2,0.815,0.903,1.108,0.564
