BEGIN
CREATE TABLE
INSERT 0 1060
  rk  |        school         | div |  str  |  ofs  |  dfs  |  sos  
------+-----------------------+-----+-------+-------+-------+-------
    1 | Nebraska              | D1  | 3.115 | 1.765 | 0.567 | 1.651
    2 | Minnesota             | D1  | 2.792 | 1.671 | 0.598 | 1.805
    3 | Florida               | D1  | 2.609 | 1.615 | 0.619 | 1.266
    4 | Wisconsin             | D1  | 2.539 | 1.594 | 0.628 | 1.666
    5 | BYU                   | D1  | 2.386 | 1.545 | 0.647 | 1.297
    6 | Michigan              | D1  | 2.363 | 1.537 | 0.651 | 1.336
    7 | UCLA                  | D1  | 2.311 | 1.520 | 0.658 | 1.393
    8 | Stanford              | D1  | 2.258 | 1.503 | 0.665 | 2.122
    9 | Washington St.        | D1  | 2.220 | 1.490 | 0.671 | 1.290
   10 | San Diego             | D1  | 2.089 | 1.445 | 0.692 | 2.001
   11 | Penn St.              | D1  | 2.088 | 1.445 | 0.692 | 1.288
   12 | Purdue                | D1  | 2.041 | 1.429 | 0.700 | 1.716
   13 | Kansas                | D1  | 2.030 | 1.425 | 0.702 | 1.169
   14 | Colorado              | D1  | 1.986 | 1.409 | 0.710 | 1.655
   15 | North Carolina        | D1  | 1.933 | 1.390 | 0.719 | 1.777
   16 | Texas                 | D1  | 1.923 | 1.387 | 0.721 | 1.578
   17 | Oregon                | D1  | 1.916 | 1.384 | 0.722 | 1.325
   18 | Arizona               | D1  | 1.845 | 1.358 | 0.736 | 1.415
   19 | Ohio St.              | D1  | 1.843 | 1.358 | 0.737 | 1.339
   20 | Illinois              | D1  | 1.817 | 1.348 | 0.742 | 1.602
   21 | Western Ky.           | D1  | 1.811 | 1.346 | 0.743 | 1.312
   22 | Santa Clara           | D1  | 1.798 | 1.341 | 0.746 | 1.287
   23 | Hawaii                | D1  | 1.791 | 1.338 | 0.747 | 1.645
   24 | Wichita St.           | D1  | 1.788 | 1.337 | 0.748 | 1.367
   25 | Creighton             | D1  | 1.785 | 1.336 | 0.748 | 1.682
   26 | Texas A&M             | D1  | 1.785 | 1.336 | 0.749 | 1.445
   27 | UNI                   | D1  | 1.774 | 1.332 | 0.751 | 1.466
   28 | Cal Poly              | D1  | 1.751 | 1.323 | 0.756 | 1.460
   29 | Kansas St.            | D1  | 1.726 | 1.314 | 0.761 | 1.641
   30 | Concordia-St. Paul    | D2  | 1.724 | 1.313 | 0.762 | 0.951
   31 | Washington            | D1  | 1.721 | 1.312 | 0.762 | 1.083
   32 | Kentucky              | D1  | 1.718 | 1.311 | 0.763 | 1.570
   33 | Towson                | D1  | 1.715 | 1.310 | 0.764 | 0.776
   34 | TCU                   | D1  | 1.695 | 1.302 | 0.768 | 1.492
   35 | Coastal Caro.         | D1  | 1.694 | 1.301 | 0.768 | 1.244
